t,ax,ay,az,gx,gy,gz,lat,lon,speed,course,hacc,truth_lat,truth_lon,truth_speed,truth_course
2999.999,-0.055,0.3516,9.5171,-0.0605,-0.0403,-0.0309,,,,,,52.4109665,-1.5968347,17.13611111,176.683
3000.099,-0.8651,0.1836,10.8868,-0.05,0.0047,-0.0312,,,,,,52.410951,-1.5968336,17.15277778,177.399
3000.2,0.252,-0.4689,10.9457,0.0112,-0.0257,-0.0235,,,,,,52.4109357,-1.5968324,17.18611111,177.214
3000.3,-0.5727,1.1121,9.9255,0.0101,-0.0432,0.0568,,,,,,52.4109202,-1.5968313,17.19444444,177.453
3000.399,-0.1836,0.4048,9.4192,0.0446,-0.0179,0.0325,,,,,,52.4109048,-1.5968303,17.18333333,177.699
3000.5,-0.5995,-0.1036,9.6704,-0.0206,-0.0266,0.0211,,,,,,52.4108895,-1.5968292,17.17777778,177.431
3000.6,-0.1282,0.4283,9.1202,-0.0868,0.0219,0.0174,,,,,,52.4108741,-1.5968281,17.18055556,177.664
3000.699,-1.4616,1.5793,9.3448,0.1078,0.0013,0.0024,,,,,,52.4108587,-1.5968271,17.2,177.8
3000.799,0.2508,0.8633,9.173,0.1045,-0.0826,0.037,,,,,,52.4108433,-1.5968263,17.19166667,177.993
3000.901,-0.6963,-0.1522,10.3488,-0.1004,0.0027,-0.0179,,,,,,52.4108279,-1.5968254,17.18333333,178.177
3000.999,-0.1883,-0.1537,9.563,-0.1614,-0.0539,0.035,,,,,,52.4108126,-1.5968246,17.16944444,178.172
3001.099,-0.7084,0.2699,9.6466,0.0792,-0.0339,0.0135,,,,,,52.4107971,-1.5968239,17.16666667,178.474
3001.199,-0.4286,0.3591,10.0903,0.0917,-0.0162,-0.0196,,,,,,52.4107818,-1.5968233,17.17222222,178.751
3001.3,-0.1369,-0.417,9.2327,-0.1786,-0.0863,0.0433,,,,,,52.4107663,-1.5968229,17.16944444,178.996
3001.4,-1.3067,0.0331,9.3266,-0.266,-0.0439,-0.0014,,,,,,52.410751,-1.5968226,17.13333333,179.043
3001.499,-0.341,-0.369,10.4388,0.2483,-0.0271,-0.026,,,,,,52.4107356,-1.5968224,17.10277778,179.54
3001.599,-0.7276,-1.3179,10.9078,0.2583,-0.0963,0.0585,,,,,,52.4107201,-1.5968223,17.1,179.659
3001.699,-0.2857,-0.2178,10.9974,-0.1527,-0.0187,-0.0107,,,,,,52.4107048,-1.5968221,17.10833333,179.809
3001.8,0.1215,0.5417,9.921,-0.1013,0.0058,-0.0289,,,,,,52.4106894,-1.5968221,17.08888889,180.199
3001.899,-0.4627,0.3251,10.8768,0.1208,-0.0116,0.031,,,,,,52.4106742,-1.5968221,17.08611111,179.984
3001.999,-0.0777,-1.4011,11.6153,0.1001,0.0128,0.0055,,,,,,52.4106589,-1.5968222,17.06111111,180.269
3002.1,-1.4431,1.2706,8.8634,-0.0629,0.0503,-0.007,,,,,,52.4106436,-1.5968223,17.05277778,180.395
3002.199,0.497,0.5693,9.0062,-0.0824,0.0073,0.0373,,,,,,52.4106285,-1.5968226,17.03888889,180.579
3002.299,0.6027,4.1939,8.1218,0.3557,-0.084,0.0605,,,,,,52.4106134,-1.5968226,17.03611111,180.212
3002.4,0.3044,-2.2307,10.3365,0.2934,-0.0421,-0.0033,,,,,,52.4105979,-1.5968231,17.02777778,180.863
3002.5,0.5541,0.0715,9.116,-0.3417,-0.0925,0.0369,,,,,,52.4105829,-1.5968232,17.03611111,180.415
3002.6,-0.8842,1.6765,9.3733,-0.1206,-0.0569,0.0242,,,,,,52.4105675,-1.5968235,17.04444444,180.621
3002.7,0.514,-0.5087,10.0873,-0.1113,-0.0384,0.031,,,,,,52.4105522,-1.5968236,17.05277778,180.458
3002.8,-1.0466,0.0121,9.8734,-0.1411,0.0072,-0.0496,,,,,,52.410537,-1.5968242,17.07222222,181.254
3002.899,-0.6989,0.2511,9.8612,-0.1421,-0.0328,0.0014,,,,,,52.4105218,-1.5968246,17.08333333,181.152
3002.999,-0.172,-0.866,9.8595,0.0122,0.0434,-0.0764,,,,,,52.4105066,-1.5968252,17.1,181.497
3003.1,-0.8446,-0.2072,9.9609,-0.0922,-0.0855,0.0312,,,,,,52.4104914,-1.596826,17.1,181.752
3003.199,-0.8487,-0.0262,9.7988,0.0217,0.0049,-0.0735,,,,,,52.4104761,-1.5968267,17.12777778,181.76
3003.3,-1.4446,-1.6358,9.8631,0.1258,-0.1445,0.0034,,,,,,52.4104609,-1.5968276,17.16111111,182.043
3003.4,0.6644,-0.1472,9.9155,-0.0575,-0.0918,0.0554,,,,,,52.4104454,-1.5968284,17.18333333,181.982
3003.5,-0.1566,0.3993,10.8964,0.005,-0.0248,0.0002,,,,,,52.4104299,-1.5968295,17.18055556,182.429
3003.599,-0.9792,0.7387,9.9346,-0.0062,-0.0333,0.0048,,,,,,52.4104145,-1.5968306,17.19166667,182.504
3003.7,-0.7746,-0.1476,8.7117,0.0624,0.028,0.0095,,,,,,52.4103996,-1.5968315,17.17777778,182.416
3003.799,-0.115,-0.1041,9.7405,0.0094,0.0197,0.0134,,,,,,52.4103842,-1.5968326,17.16666667,182.419
3003.899,-1.0224,0.8007,10.0585,0.0287,-0.0493,0.0505,,,,,,52.4103689,-1.5968341,17.17777778,183.368
